positive,'USER i would love the audio book \'the art of war\' by sun tzu as read by jim white mountainsandsea'
negative,'i know i\'m only on the 4th season of oth but i not_understand why everyone loves lucas scott he pisses me off'
negative,'i not_think my plans for tomorrow are smart considering i have sat\'s the next day well yolo'
positive,'USER are you in amsterdam tomorrow jacco'
positive,'rt USER rt me too USER on my way home from 1st day of mts11 had great time with USER USER and others mv'
negative,'you can make photo albums in the photos app with ios 5 but not_password protect them um USER fix that quickly'
negative,'disappointed the knicks vs nets game got canceled tonight but i\'m even more hyped for knicks vs heat on friday'
positive,'android 4 0 finally includes photo editing tools google android ics'
positive,'game 3 tomorrow i\'m excited in this shit than the coming pro bowl haha'
negative,'i really thought hisd not_have school tomorrow because it was christopher columbus day'
positive,'USER forget about dook now we own that series anyways let\'s beat state this saturday as we continue on to a succesful season'
positive,'lol the deadskins just signed another kicker'
positive,'wearing my jedpower band to football today we not_won away since january let\'s see how it goes d USER'
negative,'even our power not_in tok not_not_to do anything today so it changed the language friday tokadventures pic twitter com ulo1svp5'
positive,'USER dr mohamed morsi announced as egypt\'s 1st elected not_after the glorious 25th of jan revolution congratulations to egypt'
positive,'im enjoying celebrity juice instead of sleep going to be fooked tomorrow though'
negative,'ate mcdonald\'s and feel guilty so i\'m goin to 24 for an hour or 2 then to az tomorrow go and try and make my life better'
negative,'sister is rubbing it in my face the fact that she has not_school tomorrow and i do ulazysackofshit thalia its all love though lmao'
negative,'so USER \'s iphone 4 is giving her a hella hard time w the ios5 update USER'
negative,'arianators please help me i\'m a girl who\'s body is very sore and just asking for ariana jennette\'s goodluck for tomorrow please'
negative,'USER USER 3rd o where have i been i thought careless world was the 1st one not_'
positive,'not_wait to raid cvs tomorrow for the discounted candy halloween'
positive,'i not_get over that shit lol hell naw twitter'
negative,'rt USER how apple eclipsed microsoft URL lt microsoft\'s future is in the corporate world not_consumer'
positive,'dr mohamed morsi announced as egypt\'s 1st elected not_after the glorious 25th of jan revolution congratulations to egypt'
negative,'all i know is marana girls are bad as fuck and white if the ones at the party i not_to with jaylon on saturday were marana tigers'
negative,'valor is official screwed tomorrow audis and bmws not_good in the snow valorproblems richkidproblems letsgetoursecondcarsout'
positive,'entrepreneur angelinvestor pitch in on the new birthday party super bowl sunday treat URL'
positive,'russell howard then cuckoo then celebrity juice then family guy thursday night is the best night for comedy'
positive,'my sis won tickets for the jonas brothers concert USER canning on monday'
positive,'egypt\'s morsi gets red carpet welcome in iran tehran aug 29 egypt\'s mohamed morsi is in iran for the first visit URL'
negative,'boo to not_googlemusic news us carrier news or price points google ics android'
negative,'open letter steve ballmer please retire forbes please retweet msft needs a techie leader URL microsoft ballmer'
positive,'wish maddie luck next saturday she has a solo audition for nots got not_ellie xxxxx'
negative,'microsoft fail notresponding for fcucks sake URL'
positive,'URL my profile of sandro i do kind of love him'
negative,'USER give me my apps back'
negative,'what\'s worse than being stuck in a time loop of groundhog day being stuck in a monday loop'
positive,'14 feb 2011 happy valentine\'s day everybody i\'m going to buy cookies and stuff myself full'
positive,'so yeah USER ios5 readinglists have changed my life nowicanspendevenmoretimeonmyphone'
positive,'four now three tweets away from 9000 here\'s where i mention that i\'m pouring wine for a friday night with diablo iii meta classy'
negative,'if u already seen taken 2 tell me how was it'
positive,'heat vs knicks first round of playoffs tomorrow lebron wade better bring it'
positive,'USER cassidy im jealous of your hair haha just sayingg'
negative,'USER USER please deliver my daughter\'s i4s she is driving me nuts iphone'
negative,'USER these people not_know who mick jagger is you not_old old skool maybe but c\'mon mick jagger has a lot more years than you'
negative,'oh not_she not_bgv rt USER i not_wait to make USER lassyy listen to two hours of taylor swift during our drive tomorrow'
positive,'premier league west ham v man city on saturday our preview looks at the stats has some interesting betting tips URL'
positive,'there is on thing i have learned from the mlb playoffs cougar town on a new network i not_wait till january poundinggrape pennycan'
positive,'USER halloween good and who is the 3rd valentine\'s day or'
negative,'ghost rider spirit of vengeance was a lost cause you had nowhere to go but up after the 1st movie and then you decided to dig a hole'
negative,'fuck u USER'
positive,'i either love brokeback mountain or think it\'s great that homosexuality is becoming more acceptable'
positive,'he\'s like \'yeah i got acne and i love brokeback mountain \''
negative,'obviously i am not_a fan of dream high 2 and i not_even watched it well i watched the 1st ep that\'s where i heard that song'
negative,'google apps vs microsoft office 365 it is clear that google apps should be the top choice URL'
negative,'samsung google unveil phone URL'
negative,'had ma ipas not_24 hours an i jailbroke it now its shagged itunes not_letme restore it USER sym'
positive,'i\'m starting to get really concerned sending hashtags in emails p twitter is taking over our lives d'
negative,'being in amsterdam this early on a friday morning is not_my ideal i just not_to get home'
positive,'good to see flacco showing some fight in the 2nd half that\'s about all i can ask for at this not_'
negative,'this may be a reason to swap ios has too many daft games android is a desolate wasteland when it comes to games URL'
positive,'i played rugby yesterday may have broken my finger but it was definitely worth the pain the game is more fun than i remember'
negative,'apple ceo apologizes for error ridden new map app apple ceo tim cook apologized friday for the company\'s error ridden new mobile map'
negative,'this rt USER looks like USER did not_appropriately project the resources needed for siri not_very reliable'
positive,'anyway thats why i love brokeback mountain'
negative,'ghost rider 2 is pretty shit i liked the 1st one in all honesty but the 2nd is badly directed the shaky camera style is disorientating'
negative,'USER u guys are gay'
negative,'USER c\'mon leo where\'s endymion or amsterdam i know he likes amsterdam those songs are shit compared to the ones i put'
positive,'USER siri is amazing'
negative,'is this cif piece not_to be funny i mean other than in the unintentional sense of being ironically humourless URL'
negative,'after i tweeted about USER gary carter photo facepalm they removed the mets photo 2nd choice almost as bad kid holding mets cap'
positive,'twitition mcfly come back to argentina but this time we not_to come to mar del plata URL'
positive,'“USER \'not_red tape\' new jersey turns away nonunion relief crews URL via USER USER hmmm'
negative,'good evening everyone all cost and warm here and pork chops in the oven wlf'
negative,'this is kind of really creepy use your search engine the same way as USER would URL microsoft'
negative,'USER cu'
positive,'just whooped some ass in kill confirmed with USER and USER tomorrow its back to makin kats cry in gears3'
positive,'yay not_mars is coming out with a new album on december 11th i must have it'
positive,'sat at work and i have the will ferrell boxset with me might put a film on or have a power nap or sit here doing nothing that sounds good'
negative,'rt USER warning if iphone apps spontaneously loose data it might not_be the app\'s fault URL ios5downgrade'
positive,'kinect makes learning playful with help from sesamestreet and nationalgeographic education microsoft URL'
negative,'USER thank you for sucking so much i not_believe you would sell something online that not_made'
negative,'wilth accessibility mode on in not_2010 it seems that workflows sometimes do not_start automatically sp2010 workflow microsoft'
positive,'ipads replace bound playbooks on some n f l teams URL USER USER'
positive,'come to the dark side 📱“USER hey USER if you send me a free iphone i will publicly and ceremoniously burn my blackberry ”'
negative,'USER USER so in itunes i go store gt authorise… why not_it just auto authorise it when i sign into itunes grrrr'
positive,'lady boner from channing tatum in the vow right now and the fact that i get mcdonald\'s breakfast tomorrow with USER winning'
positive,'welcome nick j USER in manila so excited for the show on friday'
positive,'saturday\'s ufc on fuel tv looks a lot better than the scheduled undercard of ufc 151 not_surprise 151 got cancelled URL'
negative,'USER he can send but not_rcve txts so he has an apt USER at 4pm then he exclaims and i waited a whole year for this phone lmao'
positive,'met USER via google hangout on wednesday so cool to meet someone that you\'ve actually cited in paper'
positive,'loving ios5 awesome USER'
positive,'uh football boys win tomorrow so we can run it in becky\'s face that she not_there'
positive,'november my birthday month election day a weekend in san fran with USER naples for thanksgiving lots of friends family yes'
positive,'finally in bed such a long day but so much was accomplished athens tomorrow'
positive,'USER ceo points to USER as \'corporate mentor\' as USER signups triple URL'
positive,'paper finished cma\'s over blake and miranda dominated accounting hw got pushed to wednesday going to bed happy'
positive,'one ticket left for the USER game tomorrow not_miss the rematch of the nfc championship game against the ny giants hit me up'
positive,'nothing like watching the vow on a friday night cheers to cancelled plans and sickness'
negative,'pissed with whoever designs keyboards with USER for not_having a home and end key working on the cli i use those keys often'
positive,'love ios5 easter eggs pull down from middle top to bottom and see what pulls down awesome little feature USER lovemyiphone'
negative,'if you are a family member friend or fan of austin rivers you may not_to unfollow me this is about to get ugly'
positive,'safe and sound on 57th and 11th hoping that they clean up sandy quickly for those that were in her path love you all'
positive,'goodnight bots tomorrow remember 106 park mobo twitter chat and david letterman with USER good day for the bots'
negative,'microsoft update is so slow URL'
negative,'thursday just not_as exciting now waterloo road has stopped'
positive,'mad props to the USER employee that not_charge me to replace the back plate on my iphone made my day'
positive,'daniels good humored on comedy show indiana gov mitch daniels was a good sport thursday when he appeared on t URL'
positive,'now all USER has to do is get swype on the iphone and it will be crack iphone that is'
negative,'rt USER if USER not_fix ios5 this week i\'m buying a droid emptythreats'
negative,'USER you can suck it you and your fucking iphones better be glad it\'s all i like cause the service is fucking terrible'
positive,'eric arc elliott may be the best rapper in flatbush zombies'
negative,'giants 3rd round pick failed drug test at nfl combine jayron holsey knew it would hurt him bec URL newyork sports'
negative,'apple not_innovate or manage supply chain not_ca october 04 apple ceo tim cook speaks at the not_introducing the new i'
negative,'ohh i thought you said im who you not_5th textUSER bro USER USER it\'s just twitter why you lurking 4th tweet'
positive,'patrick roy\'s last game as a canadien is one of the selections for this weekend\'s hnic rewind'
positive,'ice cream sandwich u r really delicious can ditch iphone for u that\'s for sure google launches android4 aka icecreamsandwich'
negative,'protest against the mitch daniels purdue presidential nomination tomorrow USER theater 2 30 pm bring a friend soapurdue'
positive,'wow great deals on refurbed ipad first gen models rt apple offers great deals on refurbished 1st gen ipads URL USER'
negative,'i wish the apple updater would stop trying to ram itunes down my throat i not_own a pissing iphone USER'
positive,'microsoft explains new improvements in windows 8 start screen search URL buildingwindows8 USER tech microsoft'
negative,'why is google whoring for samsung ics'
positive,'another beauty of a day in athens greece i trust you\'ll have an exceptional friday wherever in the world you are much love'
negative,'rt USER koers google apps vs microsoft office 365 it is clear that google apps should be the top choice URL in'
positive,'come out and have some laughs with me spartacus and max at caroline\'s comedy club this wednesday october 24th URL'
positive,'just seen a taste of google\'s ice cream sandwich now i not_a bite'
negative,'damn you USER'
positive,'soul train oct 27 halloween special ft t dot finest rocking the mic crazy cactus night club adv ticket 10 wt out costume 15'
positive,'mmmm ice cream sandwich android google'
positive,'USER i hope they make sure to take care of eli manning giants vs pittsburgh on sunday nfl'
negative,'microsoft outlook 2011 for mac sucks… hate'
negative,'the glass may be rising but it\'s not_getting any warmer here lago del desierto argentina URL'
