@relation Tweets

@attribute Class {negative,positive}
@attribute Text STRING

@data
positive,'USER_NNP i_FW would_MD love_VB the_DT audio_JJ book_NN \'the_PRP art_NN of_IN war_NN \'_\'\' by_IN sun_NN tzu_NNS as_IN read_VBN by_IN jim_VBG white_JJ mountainsandsea_NN'
negative,'what_WP is_VBZ the_DT actual_JJ motives_NNS behind_IN mdp_NN \'s_POS request_NN to_TO join_VB the_DT government_NN'
negative,'i_PRP know_VBP i_PRP \'m_VBP only_RB on_IN the_DT 4th_JJ season_NN of_IN oth_JJ but_CC i_PRP do_VBP n\'t_RB understand_VB why_WRB everyone_NN loves_VBZ lucas_NN scott_NN he_PRP pisses_VBZ me_PRP off_IN'
negative,'i_PRP do_VBP n\'t_RB think_VB my_PRP$ plans_NNS for_IN tomorrow_NN are_VBP smart_JJ considering_VBG i_FW have_VBP sat_VBD \'s_IN the_DT next_JJ day_NN well_RB yolo_.'
positive,'USER_NNP are_VBP you_PRP in_IN amsterdam_NN tomorrow_NN jacco_NN'
positive,'rt_NN USER_NNP rt_NNP me_PRP too_RB USER_NNP on_IN my_PRP$ way_NN home_NN from_IN 1st_JJ day_NN of_IN mts11_NN had_VBD great_JJ time_NN with_IN USER_NNP USER_NNP and_CC others_NNS mv_.'
negative,'you_PRP can_MD make_VB photo_NN albums_NNS in_IN the_DT photos_NNS app_VBP with_IN ios_NNS 5_CD but_CC ca_MD n\'t_RB password_VB protect_VB them_PRP um_PRP USER_NNP fix_VBP that_IN quickly_RB'
negative,'disappointed_VBN the_DT knicks_NNS vs_IN nets_NNS game_NN got_VBD canceled_VBN tonight_RB but_CC i_PRP \'m_VBP even_RB more_RBR hyped_JJ for_IN knicks_NNS vs_JJ heat_NN on_IN friday_NN'
positive,'android_CC 4_CD 0_CD finally_RB includes_VBZ photo_JJ editing_NN tools_NNS google_VBP android_JJ ics_NNS'
positive,'game_NN 3_CD tomorrow_NN i_IN \'m_VBP excited_VBN in_IN this_DT shit_NN than_IN the_DT coming_VBG pro_FW bowl_NN haha_NN'
negative,'i_PRP really_RB thought_VBD hisd_PRP did_VBD n\'t_RB have_VB school_NN tomorrow_NN because_IN it_PRP was_VBD christopher_NN columbus_NN day_NN'
positive,'USER_NNP forget_VB about_IN dook_NN now_RB we_PRP own_VBP that_DT series_NN anyways_RB let_VB \'s_POS beat_VB state_NN this_DT saturday_NN as_IN we_PRP continue_VBP on_IN to_TO a_DT succesful_JJ season_NN'
positive,'lol_VB the_DT deadskins_NNS just_RB signed_VBD another_DT kicker_NN'
positive,'wearing_VBG my_PRP$ jedpower_NN band_NN to_TO football_NN today_NN we_PRP have_VBP n\'t_RB won_VBN away_RB since_IN january_NNP let_VB \'s_PRP see_VB how_WRB it_PRP goes_VBZ d_VBN USER_.'
negative,'even_RB our_PRP$ power_NN point_NN in_IN tok_NN did_VBD n\'t_RB want_VB to_TO do_VB anything_NN today_RB so_IN it_PRP changed_VBD the_DT language_NN friday_NN tokadventures_NNS pic_NN twitter_NN com_NN ulo1svp5_.'
positive,'USER_NNP dr_NN mohamed_VBD morsi_RB announced_VBN as_IN egypt_NN \'s_POS 1st_JJ elected_VBN president_NN after_IN the_DT glorious_JJ 25th_JJ of_IN jan_NN revolution_NN congratulations_NNS to_TO egypt_VB'
positive,'im_PRP enjoying_VBG celebrity_NN juice_NN instead_RB of_IN sleep_NN going_VBG to_TO be_VB fooked_VBN tomorrow_NN though_IN'
negative,'ate_VBD mcdonald_NN \'s_POS and_CC feel_VB guilty_JJ so_IN i_PRP \'m_VBP goin_VBG to_TO 24_CD for_IN an_DT hour_NN or_CC 2_CD then_RB to_TO az_NN tomorrow_NN go_VB and_CC try_VB and_CC make_VB my_PRP$ life_NN better_RBR'
negative,'sister_NN is_VBZ rubbing_VBG it_PRP in_IN my_PRP$ face_NN the_DT fact_NN that_IN she_PRP has_VBZ no_DT school_NN tomorrow_NN and_CC i_PRP do_VBP ulazysackofshit_VB thalia_IN its_PRP$ all_PDT love_VBP though_IN lmao_NN'
negative,'so_RB USER_NNP \'s_POS iphone_NN 4_CD is_VBZ giving_VBG her_PRP a_DT hella_NN hard_JJ time_NN w_VBD the_DT ios5_JJS update_NN USER_NN'
negative,'cofield_NN should_MD have_VB hopped_VBN off_RP the_DT dm_NN sticks_NNS after_IN his_PRP$ 3rd_JJ year_NN niggas_NN was_VBD tired_VBN of_IN him_PRP lol_.'
negative,'arianators_NNS please_VB help_VB me_PRP i_IN \'m_VBP a_DT girl_NN who_WP \'s_POS body_NN is_VBZ very_RB sore_JJ and_CC just_RB asking_VBG for_IN ariana_DT jennette_NN \'s_POS goodluck_NN for_IN tomorrow_NN please_VBP'
negative,'USER_NNP USER_NNP 3rd_VBD o_IN where_WRB have_VBP i_VBN been_VBN i_IN thought_VBN careless_JJ world_NN was_VBD the_DT 1st_JJ one_CD no_NN'
positive,'ca_MD n\'t_RB wait_VB to_TO raid_VB cvs_NNS tomorrow_NN for_IN the_DT discounted_VBN candy_NN halloween_NN'
positive,'i_FW cnt_NN get_VB over_IN that_DT shit_NN lol_NN hell_NN naw_NN twitter_NN'
negative,'rt_NN USER_NN how_WRB apple_NN eclipsed_VBD microsoft_JJ URL_NNP lt_NN microsoft_NN \'s_POS future_NN is_VBZ in_IN the_DT corporate_JJ world_NN not_RB consumer_NN'
positive,'dr_NN mohamed_VBD morsi_RB announced_VBN as_IN egypt_NN \'s_POS 1st_JJ elected_VBN president_NN after_IN the_DT glorious_JJ 25th_JJ of_IN jan_NN revolution_NN congratulations_NNS to_TO egypt_VB'
negative,'all_DT i_NNS know_VBP is_VBZ marana_NN girls_NNS are_VBP bad_JJ as_IN fuck_JJ and_CC white_JJ if_IN the_DT ones_NNS at_IN the_DT party_NN i_NN went_VBD to_TO with_IN jaylon_NN on_IN saturday_NN were_VBD marana_NN tigers_NNS'
negative,'valor_NN is_VBZ official_JJ screwed_NN tomorrow_NN audis_NN and_CC bmws_NNS are_VBP n\'t_RB good_JJ in_IN the_DT snow_NN valorproblems_NNS richkidproblems_NNS letsgetoursecondcarsout_.'
positive,'entrepreneur_NN angelinvestor_NN pitch_NN in_IN on_IN the_DT new_JJ birthday_NN party_NN super_NN bowl_NN sunday_NN treat_NN URL_.'
positive,'russell_NN howard_RB then_RB cuckoo_RB then_RB celebrity_NN juice_NN then_RB family_NN guy_NN thursday_IN night_NN is_VBZ the_DT best_JJS night_NN for_IN comedy_NN'
positive,'my_PRP$ sis_NN won_VBD tickets_NNS for_IN the_DT jonas_NNP brothers_NNS concert_NN USER_NNP canning_NN on_IN monday_NN'
positive,'egypt_NN \'s_POS morsi_NN gets_VBZ red_JJ carpet_NN welcome_NN in_IN iran_JJ tehran_NN aug_VB 29_CD egypt_NN \'s_POS mohamed_JJ morsi_NN is_VBZ in_IN iran_NN for_IN the_DT first_JJ visit_NN URL_.'
negative,'boo_NN to_TO no_DT googlemusic_NN news_NN us_PRP carrier_NN news_NN or_CC price_NN points_NNS google_JJ ics_NNS android_CC'
negative,'open_JJ letter_NN steve_NN ballmer_NN please_VBP retire_VB forbes_NNS please_VB retweet_JJ msft_NN needs_VBZ a_DT techie_NN leader_NN URL_NNP microsoft_JJ ballmer_NN'
positive,'wish_VB maddie_VBP luck_NN next_IN saturday_NN she_PRP has_VBZ a_DT solo_NN audition_NN for_IN britain_NN \'s_POS got_VBN talent_NN ellie_NN xxxxx_NN'
negative,'microsoft_JJ fail_VBP notresponding_VBG for_IN fcucks_NNS sake_NN URL_.'
positive,'URL_NNP my_PRP$ profile_NN of_IN sandro_NN i_NNS do_VBP kind_NN of_IN love_NN him_PRP'
negative,'USER_NNP give_VB me_PRP my_PRP$ apps_NNS back_RB'
negative,'what_WP \'s_VBZ worse_JJR than_IN being_VBG stuck_VBN in_IN a_DT time_NN loop_NN of_IN groundhog_NN day_NN being_VBG stuck_VBN in_IN a_DT monday_NN loop_NN'
positive,'14_CD feb_NN 2011_CD happy_JJ valentine_NN \'s_POS day_NN everybody_NN i_PRP \'m_VBP going_VBG to_TO buy_VB cookies_NNS and_CC stuff_VB myself_PRP full_JJ'
positive,'so_RB yeah_UH USER_NNP ios5_. readinglists_NNS have_VBP changed_VBN my_PRP$ life_NN nowicanspendevenmoretimeonmyphone_.'
positive,'four_CD now_RB three_CD tweets_NNS away_RB from_IN 9000_CD here_RB \'s_VBZ where_WRB i_PRP mention_VBP that_IN i_PRP \'m_VBP pouring_VBG wine_NN for_IN a_DT friday_JJ night_NN with_IN diablo_NN iii_NNS meta_NN classy_NN'
negative,'if_IN u_PRP already_RB seen_VBN taken_VBN 2_CD tell_VBP me_PRP how_WRB was_VBD it_PRP'
positive,'heat_NN vs_IN knicks_NNS first_JJ round_NN of_IN playoffs_NNS tomorrow_NN lebron_NN wade_VBD better_RB bring_VB it_PRP'
positive,'USER_NNP cassidy_NN im_IN jealous_JJ of_IN your_PRP$ hair_NN haha_NN just_RB sayingg_VBG'
negative,'USER_NN USER_NNP please_VB deliver_VB my_PRP$ daughter_NN \'s_POS i4s_NN she_PRP is_VBZ driving_VBG me_PRP nuts_NNS iphone_NN'
negative,'USER_IN these_DT people_NNS cannot_IN know_VBP who_WP mick_VBP jagger_NN is_VBZ you_PRP ai_VBP n\'t_RB old_JJ old_JJ skool_NN maybe_RB but_CC c_SYM \'mon_JJ mick_NN jagger_NN has_VBZ a_DT lot_NN more_RBR years_NNS than_IN you_PRP'
